# Name                     RAdeg             DEdeg               Memb Disk Acc K2var   umag   gmag   rmag   imag   Hamag  SpT   Avmag                Lbol                Mstar               Rstar              logAge             logMacc             DlogMacc+ DlogMacc-
  EPIC224345706            271.13287         -24.41119           y    n    0   P       19.706 17.122 15.71  15.008 15.435 K5.5  0.685                1.777               0.858               2.365              5.93               ""                  ""        ""       
  EPIC224345916            271.06825         -24.41083           y    y    1   S       19.236 17.371 15.868 15.123 15.333 K8    0.621                1.945               0.558               2.896              5.55               -8.034              0.157     0.381    
  EPIC224345928            270.77896         -24.41081           y    y*   2   N       14.117 12.917 12.8   12.756 12.831 A5    0.0                  11.762              1.842               1.72               6.96               -7.439              0.03      ""       
  EPIC224346989            271.15433         -24.40887           y    n*   1   APD     ""     18.655 16.974 16.17  16.397 M0.5  0.561                0.94                0.42                2.37               5.7                -8.485              0.154     0.328    
  EPIC224348598            270.94667         -24.40589           y    n*   1   P       18.469 16.607 15.406 14.845 14.868 K3.25 0.571                1.792               1.265               2.051              6.31               -8.375              0.377     0.727    
  EPIC224348864            270.92408         -24.40547           y    n    1   P       ""     16.423 14.909 14.155 14.413 K7.5  0.789                5.102               0.584               4.547              ""                 -7.386              0.29      0.86     
  EPIC224349642            271.07042         -24.40408           y    y*   0   P       16.782 14.943 13.824 13.32  13.543 K2.75 0.334                6.017               1.427               3.607              5.7                ""                  ""        ""       
  EPIC224349697            271.16217         -24.404             y    n    0   P       12.916 10.866 9.824  9.41   9.614  K4.5  0.6                  382.115             4.354               32.521             ""                 ""                  ""        ""       
  EPIC224350291            271.13438         -24.40286           y    n    0   EB      16.934 15.196 14.104 13.6   13.863 K2    0.445                4.723               1.722               2.967              6.04               ""                  ""        ""       
  EPIC224350629            271.09216         -24.40219           y    ""   0   QPS     ""     18.479 16.731 15.855 16.546 K7.5  1.684                1.982               0.605               2.834              5.59               ""                  ""        ""       
  EPIC224350794            271.08479         -24.40192           y    n    0   P       ""     18.023 16.373 15.543 16.04  K7.75 1.136                1.791               0.588               2.735              5.62               ""                  ""        ""       
  EPIC224350798            271.06883         -24.402             y    n    1   QPD     ""     18.871 17.336 16.663 16.058 M0.75 0.196                0.533               0.431               1.822              5.99               -8.149              0.159     0.16     
  EPIC224351043            271.05738         -24.40142           y    n    0   MP      18.765 16.36  15.041 14.428 14.852 K5    0.483                2.625               0.926               2.758              5.78               ""                  ""        ""       
  EPIC224351118            271.08148         -24.40135           y    y    0   S       ""     18.345 16.574 15.643 16.384 K8.75 1.685                2.724               0.491               3.589              5.06               ""                  ""        ""       
  EPIC224351290            271.23442         -24.40094           y    n    2   N       12.28  11.804 11.696 11.657 11.643 A5    0.0                  32.628              2.185               2.865              6.67               -6.726              0.11      ""       
  EPIC224351738            271.15492         -24.40028           y    n    2   MP      17.131 15.806 14.894 14.434 14.74  G5    0.699                2.47                1.425               1.682              6.97               -8.086              0.032     ""       
  EPIC224352119            271.16833         -24.39956           ?    n    ""  P       ""     ""     ""     18.016 ""     ""    ""                   ""                  ""                  ""                 ""                 ""                  ""        ""       
  EPIC224352275            271.18442         -24.39922           y    n    0   P       19.833 17.384 15.955 15.296 15.591 K9.5  0.175                1.546               0.461               2.837              5.54               ""                  ""        ""       
  EPIC224352442            271.09508         -24.399             y    n    0   P       20.299 17.592 16.189 15.506 15.922 K7.5  0.427                1.174               0.656               2.182              5.91               ""                  ""        ""       
  EPIC224352461            271.11417         -24.39897           y    n    0   P       16.074 14.464 13.453 12.992 13.197 G9.75 0.373                7.183               2.289               3.181              6.22               ""                  ""        ""       
  EPIC224352677            270.78325         -24.39858           y    n    0   N       17.084 15.328 13.585 12.586 13.302 K6.5  1.726                32.677              0.978               10.807             ""                 ""                  ""        ""       
  EPIC224353194            271.11138         -24.39769           y    n    0   ""      13.985 12.857 12.663 12.544 12.625 A4.25 0.396                18.908              2.06                2.108              6.85               ""                  ""        ""       
  EPIC224353581            271.19992         -24.39706           y    n*   0   P       19.816 17.429 16.035 15.387 15.755 G5.25 3.419                8.791               2.437               3.186              6.36               ""                  ""        ""       
  EPIC224353828            271.00525         -24.39647           y    n    2   N       12.086 11.652 11.635 11.634 11.583 A3.5  0.105                40.49               2.313               2.985              6.61               -6.545              0.049     ""       
  EPIC224354500            271.12179         -24.39531           y    y    1   QPD     18.882 17.238 15.834 15.148 15.414 K5    0.865                2.06                0.744               2.671              5.73               -8.481              0.552     ""       
  EPIC224354675            271.12796         -24.39497           ?    ""   2   N       15.585 14.251 13.82  13.63  13.773 F2.75 0.498                5.945               1.447               1.75               7.11               -7.632              0.056     ""       
  EPIC224354703            270.995           -24.39489           y    n    0   N       13.31  12.219 11.751 11.568 11.64  F8.75 0.364                36.062              2.959               5.466              6.21               ""                  ""        ""       
  EPIC224354945            271.17292         -24.39447           y    y*   1   QPS     ""     ""     18.982 17.176 17.943 ""    ""                   ""                  ""                  ""                 ""                 ""                  ""        ""       
  EPIC224355150            271.05846         -24.39417           y    n*   0   QPS     16.44  14.85  13.927 13.53  13.74  G9.25 0.085                3.643               1.804               2.236              6.58               ""                  ""        ""       
  EPIC224355341            270.95563         -24.39372           y    y    1   P       19.217 17.474 16.179 15.617 15.512 G8.25 2.72                 4.382               1.9                 2.383              6.55               -7.764              0.222     0.174    
  EPIC224355643            271.08892         -24.39322           y    n    0   QPS     12.682 11.686 11.568 11.511 11.539 B9.75 1.562                193.937             3.589               4.617              6.13               ""                  ""        ""       
  EPIC224355728            271.00333         -24.393             ?    n    0   N       19.303 17.038 14.929 13.743 14.637 K4.5  4.457                79.808              1.969               14.862             ""                 ""                  ""        ""       
  EPIC224356391            271.04611         -24.39185           y    n    0   ?       ""     16.587 14.053 12.785 13.675 ""    ""                   ""                  ""                  ""                 ""                 ""                  ""        ""       
  EPIC224356395            271.19942         -24.39178           y    n    0   QPS     18.354 16.302 15.069 14.472 14.774 K2.75 0.884                3.033               1.385               2.561              6.09               ""                  ""        ""       
  EPIC224356848            271.06258         -24.39106           y    n    0   N       9.072  9.138  9.264  9.343  9.226  B7.25 0.0                  656.275             4.884               5.355              5.8                ""                  ""        ""       
  EPIC224356938            271.15558         -24.39083           y    n    0   QPS     19.866 17.126 15.535 14.708 15.185 K7.75 1.079                3.761               0.558               3.965              ""                 ""                  ""        ""       
  EPIC224357532            271.11179         -24.38986           y    y    1   QPS     17.293 15.842 14.649 14.08  14.279 K2.5  0.728                3.796               1.49                2.794              6.03               -8.217              0.252     0.302    
  EPIC224357653            271.08675         -24.38964           y    y    1   QPS     ""     19.196 17.189 16.355 16.87  ""    ""                   ""                  ""                  ""                 ""                 ""                  ""        ""       
  EPIC224357671            271.04248         -24.38964           y    n*   1   ?       18.939 17.244 15.796 15.036 15.015 K3.75 1.568                2.99                1.127               2.737              5.89               -7.542              0.296     0.288    
